location,latitude,longitude,climate_zone,weatherfile,schedules_type,num_simulations,timesteps_per_hour,occupant_types,thermostat_setback
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,000,0
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,000,5
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,111,0
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,111,5
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,222,0
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,222,5
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,333,0
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,stochastic,10,2,333,5
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,000,0
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,000,5
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,111,0
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,111,5
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,222,0
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,222,5
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,333,0
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,stochastic,10,2,333,5
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,000,0
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,111,0
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,222,0
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,333,0
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,000,5
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,111,5
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,222,5
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,stochastic,10,2,333,5
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,000,0
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,111,0
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,222,0
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,333,0
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,000,5
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,111,5
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,222,5
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,stochastic,10,2,333,5
Fargo,46.8772,-96.7898,7A,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,default,1,2,,0
Miami,25.7617,-80.1918,1A,USA_FL_Miami.Intl.AP.722020_TMY3.epw,default,1,2,,0
Phoenix,33.4484,-112.074,2B,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,default,1,2,,0
Richmond,37.5407,-77.436,4A,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,default,1,2,,0
